tweet_id,retweet_count,favorite_count
875747767867523072,4082,24368
875144289856114688,4708,21233
875097192612077568,5792,26549
875021211251597312,4517,24658
874680097055178752,4435,26955
874434818259525634,13989,0
874296783580663808,3934,25220
874057562936811520,3784,21997
874012996292530176,9904,33449
873580283840344065,3770,23472
873337748698140672,1523,0
873213775632977920,1523,6984
872967104147763200,5178,26475
872820683541237760,3554,14273
872620804844003328,3514,20142
872486979161796608,8653,39536
872122724285648897,7815,33387
871879754684805121,10657,36745
871762521631449091,3351,19691
871515927908634625,3330,19603
871166179821445120,5478,0
871102520638267392,5310,20351
871032628920680449,3674,22083
870804317367881728,5974,32715
870726314365509632,3,118
870656317836468226,2550,12066
870374049280663552,25423,80646
870308999962521604,4023,21310
870063196459192321,8029,35701
869772420881756160,9727,41414
869702957897576449,6123,27563
869596645499047938,3038,15590
869227993411051520,3654,19940
868880397819494401,13994,63982
868639477480148993,2026,0
868622495443632128,5145,26114
868552278524837888,2026,9879
867900495410671616,4064,23673
867774946302451713,7134,33219
867421006826221569,2428,15771
867072653475098625,118,0
867051520902168576,7651,31557
866720684873056260,4679,19639
866686824827068416,3381,18896
866450705531457537,34328,119867
866334964761202691,13989,51479
866094527597207552,8167,0
865718153858494464,5475,25156
865359393868664832,4877,25976
865006731092295680,7488,27502
864873206498414592,8490,31702
864279568663928832,2951,14348
864197398364647424,8697,29583
863907417377173506,4040,20269
863553081350529029,4095,15042
863471782782697472,2388,0
863432100342583297,5125,23433
863427515083354112,94,2205
863079547188785154,1082,8631
863062471531167744,2388,8356
862831371563274240,5038,18885
862722525377298433,3467,16816
862457590147678208,4867,20196
862096992088072192,22783,73426
861383897657036800,10511,35639
861288531465048066,4074,16975
861005113778896900,3747,16501
860981674716409858,2118,0
860924035999428608,796,0
860563773140209665,2118,7425
860524505164394496,5205,23339
860276583193509888,3435,18123
860184849394610176,5773,16484
860177593139703809,30528,0
859924526012018688,4028,19368
859851578198683649,3467,15259
859607811541651456,1547,18408
859196978902773760,29832,89121
859074603037188101,13458,33562
858860390427611136,8043,0
858843525470990336,3455,15422
858471635011153920,4797,21341
858107933456039936,2885,15617
857989990357356544,2568,16020
857746408056729600,10563,34028
857393404942143489,1634,5861
857263160327368704,4484,19909
857214891891077121,17,227
857062103051644929,169,0
857029823797047296,3985,18834
856543823941562368,2874,16215
856526610513747968,1874,11811
856330835276025856,671,0
856288084350160898,17,516
856282028240666624,6286,27648
855862651834028034,26,345
855860136149123072,1013,4993
855857698524602368,2110,11843
855851453814013952,17865,45499
855818117272018944,5441,26601
855459453768019968,8227,29893
855245323840757760,5988,0
855138241867124737,45,0
854732716440526848,6100,22872
854482394044301312,6902,29359
854365224396361728,4714,18932
854120357044912130,7527,32098
854010172552949760,3179,16254
853760880890318849,5800,28717
853639147608842240,10198,34995
853299958564483072,3585,15608
852936405516943360,2028,0
852912242202992640,1850,9135
852672615818899456,2176,15038
852553447878664193,3547,16476
852311364735569921,10034,33418
852226086759018497,6906,20189
852189679701164033,1606,11566
851861385021730816,20,0
851591660324737024,3524,16400
851464819735769094,7179,24508
851224888060895234,5813,20904
850753642995093505,9352,31285
850380195714523136,2657,13243
850333567704068097,340,3492
850145622816686080,3875,16549
850019790995546112,4968,20712
849776966551130114,7737,30911
849668094696017920,5049,0
849412302885593088,3208,16103
849336543269576704,1941,11571
849051919805034497,8666,43056
848690551926992896,4411,25586
848324959059550208,4696,25167
848213670039564288,757,8323
848212111729840128,3128,16606
847978865427394560,3335,0
847971574464610304,442,0
847962785489326080,5212,23928
847842811428974592,1360,5548
847617282490613760,430,7110
847606175596138505,3495,19114
847251039262605312,4391,20849
847157206088847362,6001,20307
847116187444137987,3265,21827
846874817362120707,4013,20473
846514051647705089,11889,45487
846505985330044928,3156,14390
846153765933735936,9297,32309
846139713627017216,10207,31542
846042936437604353,2951,16329
845812042753855489,8957,29894
845677943972139009,4914,25700
845397057150107648,1853,7796
845306882940190720,5548,23846
845098359547420673,7872,0
844979544864018432,2636,13921
844973813909606400,3300,15442
844580511645339650,3224,16852
844223788422217728,2268,13942
843981021012017153,3019,15497
843856843873095681,4766,21936
843604394117681152,2833,17281
843235543001513987,6216,22038
842846295480000512,3731,15607
842765311967449089,1320,6913
842535590457499648,3615,18537
842163532590374912,5988,25083
842115215311396866,3133,14349
841833993020538882,15718,0
841680585030541313,8031,26310
841439858740625411,3805,12958
841320156043304961,5654,20297
841314665196081154,4831,16236
841077006473256960,5478,23457
840761248237133825,1820,0
840728873075638272,16721,0
840698636975636481,2,181
840696689258311684,1015,12609
840632337062862849,1820,9227
840370681858686976,4708,16914
840268004936019968,5918,19794
839990271299457024,2371,13787
839549326359670784,8043,28241
839290600511926273,148,0
839239871831150596,6769,27963
838952994649550848,4130,20181
838921590096166913,2143,11487
838916489579200512,36,0
838831947270979586,11448,0
838561493054533637,1375,11236
838476387338051585,4972,23226
838201503651401729,10439,0
838150277551247360,348,1727
838085839343206401,1,145
838083903487373313,3271,18136
837820167694528512,8167,35178
837482249356513284,460,3945
837471256429613056,2364,13171
837110210464448512,2476,16533
836989968035819520,2379,13101
836753516572119041,4816,19870
836677758902222849,2306,12991
836648853927522308,568,0
836397794269200385,28733,0
836380477523124226,3096,15203
836260088725786625,4461,21938
836001077879255040,4447,19677
835685285446955009,8465,0
835574547218894849,3766,18349
835536468978302976,1775,0
835309094223372289,21883,0
835297930240217089,3123,16953
835264098648616962,1775,7970
835246439529840640,73,2165
835172783151792128,5991,26974
835152434251116546,3150,23167
834931633769889797,1721,11171
834786237630337024,5722,21919
834574053763584002,2643,14114
834477809192075265,11139,0
